CountryID,Country,ProductID,Total Products Sold
1,Spain,5,87
1,Spain,5,62
1,Spain,5,16
1,Spain,4,66
1,Spain,5,58
1,Spain,2,60
1,Spain,5,59
1,Spain,4,15
1,Spain,4,77
1,Spain,5,60
1,Spain,5,11
1,Spain,4,64
1,Spain,4,81
1,Spain,5,15
1,Spain,1,40
1,Spain,5,36
1,Spain,3,39
1,Spain,1,18
1,Spain,4,47
1,Spain,5,38
1,Spain,5,99
1,Spain,1,45
1,Spain,5,97
1,Spain,5,40
1,Spain,5,98
1,Spain,5,86
1,Spain,3,78
1,Spain,4,10
1,Spain,1,94
1,Spain,5,88
1,Spain,1,27
1,Spain,5,69
1,Spain,1,32
1,Spain,1,96
1,Spain,2,58
1,Spain,3,47
1,Spain,4,69
1,Spain,2,67
1,Spain,3,87
1,Spain,2,10
1,Spain,4,95
1,Spain,5,12
1,Spain,5,97
1,Spain,5,40
1,Spain,3,92
1,Spain,2,52
1,Spain,5,21
1,Spain,5,48
1,Spain,4,47
1,Spain,5,49
1,Spain,4,82
1,Spain,4,25
1,Spain,4,36
1,Spain,5,76
1,Spain,4,73
1,Spain,5,45
1,Spain,4,66
1,Spain,5,64
1,Spain,5,99
1,Spain,4,47
1,Spain,5,70
1,Spain,4,41
1,Spain,5,36
1,Spain,2,79
1,Spain,5,69
1,Spain,2,69
1,Spain,5,35
1,Spain,5,35
1,Spain,5,41
1,Spain,1,73
1,Spain,4,100
1,Spain,2,89
1,Spain,1,99
1,Spain,5,15
1,Spain,5,94
1,Spain,5,15
1,Spain,4,49
1,Spain,2,14
1,Spain,5,68
1,Spain,5,31
1,Spain,3,10
1,Spain,4,61
1,Spain,5,94
1,Spain,5,82
1,Spain,1,53
1,Spain,3,17
1,Spain,1,70
1,Spain,5,73
1,Spain,3,28
1,Spain,5,32
1,Spain,4,30
1,Spain,4,13
1,Spain,1,52
1,Spain,1,72
1,Spain,5,51
1,Spain,5,62
1,Spain,1,36
1,Spain,5,97
1,Spain,1,25
1,Spain,5,19
1,Spain,5,83
1,Spain,5,75
1,Spain,3,90
1,Spain,4,79
1,Spain,5,79
1,Spain,1,25
1,Spain,3,89
1,Spain,3,48
1,Spain,4,59
1,Spain,1,52
1,Spain,2,11
1,Spain,2,93
1,Spain,5,81
1,Spain,5,19
1,Spain,5,41
1,Spain,5,45
1,Spain,5,11
1,Spain,4,45
1,Spain,4,49
1,Spain,5,58
1,Spain,2,20
1,Spain,5,92
1,Spain,4,78
1,Spain,4,37
1,Spain,1,78
1,Spain,5,25
1,Spain,5,82
1,Spain,5,32
1,Spain,1,29
1,Spain,3,30
1,Spain,5,95
1,Spain,2,52
1,Spain,5,73
1,Spain,5,57
1,Spain,1,81
1,Spain,5,91
1,Spain,4,47
1,Spain,5,36
1,Spain,1,12
1,Spain,4,51
1,Spain,1,99
1,Spain,5,98
1,Spain,1,63
1,Spain,1,78
1,Spain,4,53
1,Spain,4,15
1,Spain,4,69
1,Spain,4,61
1,Spain,5,11
1,Spain,4,27
1,Spain,3,83
1,Spain,3,93
1,Spain,5,66
1,Spain,5,77
1,Spain,3,69
1,Spain,3,34
1,Spain,4,37
1,Spain,5,39
1,Spain,5,97
1,Spain,1,35
1,Spain,1,50
1,Spain,4,51
1,Spain,5,47
1,Spain,4,52
1,Spain,3,46
1,Spain,4,22
1,Spain,5,22
1,Spain,1,90
1,Spain,5,69
1,Spain,1,17
1,Spain,1,10
1,Spain,3,74
1,Spain,5,63
1,Spain,3,90
1,Spain,4,64
1,Spain,3,26
1,Spain,5,83
1,Spain,2,71
1,Spain,3,30
1,Spain,5,65
1,Spain,1,21
1,Spain,1,22
1,Spain,3,81
1,Spain,5,38
1,Spain,4,74
1,Spain,4,60
1,Spain,4,88
1,Spain,4,92
1,Spain,5,73
1,Spain,3,77
1,Spain,4,90
1,Spain,5,95
1,Spain,5,57
1,Spain,4,49
1,Spain,3,19
1,Spain,4,46
1,Spain,4,35
1,Spain,1,85
1,Spain,5,22
1,Spain,5,22
1,Spain,5,93
1,Spain,1,46
1,Spain,4,92
1,Spain,3,54
1,Spain,3,39
1,Spain,4,31
1,Spain,1,100
1,Spain,2,25
1,Spain,1,59
1,Spain,5,56
1,Spain,3,100
1,Spain,4,89
1,Spain,4,10
1,Spain,4,50
1,Spain,4,10
1,Spain,4,59
1,Spain,5,21
1,Spain,4,39
1,Spain,2,100
1,Spain,1,92
1,Spain,4,55
1,Spain,2,52
1,Spain,5,36
1,Spain,1,70
1,Spain,4,29
1,Spain,5,60
1,Spain,2,16
1,Spain,3,83
1,Spain,2,84
1,Spain,1,93
1,Spain,5,73
1,Spain,5,16
1,Spain,4,87
1,Spain,5,13
1,Spain,4,40
1,Spain,5,36
1,Spain,3,13
1,Spain,4,91
1,Spain,5,30
1,Spain,3,98
1,Spain,5,72
1,Spain,4,75
1,Spain,5,81
1,Spain,3,44
1,Spain,5,29
1,Spain,3,80
1,Spain,5,58
1,Spain,4,42
1,Spain,5,97
1,Spain,4,37
1,Spain,1,85
1,Spain,1,92
1,Spain,2,35
1,Spain,4,87
1,Spain,5,29
1,Spain,3,50
1,Spain,1,57
1,Spain,5,86
1,Spain,5,60
1,Spain,5,74
1,Spain,5,52
1,Spain,1,99
1,Spain,3,99
1,Spain,4,93
1,Spain,2,36
1,Spain,5,67
1,Spain,5,32
1,Spain,5,81
1,Spain,1,53
1,Spain,5,67
1,Spain,5,58
1,Spain,5,31
1,Spain,5,11
1,Spain,4,51
1,Spain,5,96
1,Spain,1,42
1,Spain,4,31
1,Spain,5,35
1,Spain,4,39
1,Spain,4,100
1,Spain,4,69
1,Spain,5,89
1,Spain,3,59
1,Spain,5,61
1,Spain,4,29
1,Spain,4,12
1,Spain,3,13
1,Spain,5,33
1,Spain,4,25
1,Spain,1,78
1,Spain,4,19
1,Spain,4,68
1,Spain,1,23
1,Spain,3,89
1,Spain,4,37
1,Spain,4,83
1,Spain,3,67
1,Spain,4,40
1,Spain,2,100
1,Spain,4,77
1,Spain,4,29
1,Spain,3,59
1,Spain,2,40
1,Spain,5,70
1,Spain,5,15
1,Spain,5,38
1,Spain,3,84
1,Spain,5,39
1,Spain,5,100
1,Spain,4,89
1,Spain,5,32
1,Spain,1,24
1,Spain,5,68
1,Spain,1,56
1,Spain,2,58
1,Spain,5,41
1,Spain,4,75
1,Spain,5,32
1,Spain,3,68
1,Spain,5,93
1,Spain,5,27
1,Spain,3,16
1,Spain,5,92
1,Spain,4,45
1,Spain,5,32
1,Spain,4,20
1,Spain,1,17
1,Spain,5,92
1,Spain,1,59
1,Spain,4,16
1,Spain,5,24
1,Spain,5,45
1,Spain,1,41
1,Spain,4,52
1,Spain,4,22
1,Spain,4,44
1,Spain,2,73
1,Spain,4,15
1,Spain,3,41
1,Spain,4,57
1,Spain,4,61
1,Spain,4,74
1,Spain,1,82
1,Spain,2,43
1,Spain,4,81
1,Spain,3,38
1,Spain,3,66
1,Spain,1,51
1,Spain,4,78
1,Spain,4,14
1,Spain,4,31
1,Spain,5,65
1,Spain,5,58
1,Spain,5,100
1,Spain,4,69
1,Spain,5,15
1,Spain,5,43
1,Spain,5,46
1,Spain,2,33
1,Spain,1,58
1,Spain,1,26
1,Spain,4,97
1,Spain,5,12
1,Spain,5,27
1,Spain,2,62
1,Spain,1,51
1,Spain,3,78
1,Spain,5,17
1,Spain,5,78
1,Spain,5,19
1,Spain,1,96
1,Spain,5,15
1,Spain,5,89
1,Spain,4,36
1,Spain,2,51
1,Spain,3,50
1,Spain,5,54
1,Spain,5,78
1,Spain,2,43
1,Spain,2,76
1,Spain,5,12
1,Spain,5,54
1,Spain,2,100
1,Spain,5,30
1,Spain,1,43
1,Spain,5,20
1,Spain,3,79
1,Spain,4,68
1,Spain,5,25
1,Spain,4,25
1,Spain,5,15
1,Spain,4,62
1,Spain,4,75
1,Spain,3,60
1,Spain,4,32
1,Spain,4,42
1,Spain,3,78
1,Spain,5,62
1,Spain,4,22
1,Spain,5,11
1,Spain,4,94
1,Spain,4,69
1,Spain,4,76
1,Spain,5,53
1,Spain,1,22
1,Spain,2,81
1,Spain,1,86
1,Spain,3,32
1,Spain,4,13
1,Spain,3,61
1,Spain,1,92
1,Spain,5,23
1,Spain,2,67
1,Spain,4,37
1,Spain,5,31
1,Spain,3,26
1,Spain,4,34
1,Spain,5,26
1,Spain,4,68
1,Spain,2,69
1,Spain,5,17
1,Spain,1,89
1,Spain,1,68
1,Spain,1,54
1,Spain,5,55
1,Spain,4,13
1,Spain,1,56
1,Spain,3,11
1,Spain,5,17
1,Spain,1,59
1,Spain,5,77
1,Spain,2,69
1,Spain,4,70
1,Spain,5,55
1,Spain,3,44
1,Spain,5,14
1,Spain,2,53
1,Spain,4,69
1,Spain,5,40
1,Spain,4,32
1,Spain,5,62
1,Spain,1,61
1,Spain,5,11
1,Spain,3,73
1,Spain,5,15
1,Spain,5,60
1,Spain,5,36
1,Spain,4,70
1,Spain,1,84
1,Spain,3,81
1,Spain,4,37
1,Spain,4,82
1,Spain,5,48
1,Spain,5,87
1,Spain,2,51
1,Spain,5,92
1,Spain,4,98
1,Spain,5,64
1,Spain,4,96
1,Spain,5,41
1,Spain,4,49
1,Spain,5,86
1,Spain,1,45
1,Spain,5,81
1,Spain,4,57
1,Spain,1,58
1,Spain,5,47
1,Spain,4,61
1,Spain,5,54
1,Spain,1,89
1,Spain,5,79
1,Spain,1,100
1,Spain,5,76
1,Spain,2,15
1,Spain,4,80
1,Spain,5,13
1,Spain,4,41
1,Spain,5,79
1,Spain,1,49
1,Spain,4,49
1,Spain,3,65
1,Spain,4,61
1,Spain,4,17
1,Spain,5,97
1,Spain,1,83
1,Spain,3,33
1,Spain,5,88
1,Spain,4,14
1,Spain,3,73
1,Spain,1,34
1,Spain,5,14
1,Spain,4,39
1,Spain,1,74
1,Spain,5,74
1,Spain,2,20
1,Spain,1,28
1,Spain,1,39
1,Spain,5,73
1,Spain,1,60
1,Spain,5,46
1,Spain,2,46
1,Spain,1,96
1,Spain,5,76
1,Spain,1,56
1,Spain,5,56
1,Spain,3,98
1,Spain,5,55
1,Spain,1,13
1,Spain,5,86
1,Spain,1,29
1,Spain,5,11
1,Spain,5,19
1,Spain,5,79
1,Spain,3,69
1,Spain,4,82
1,Spain,5,82
1,Spain,5,49
1,Spain,3,77
1,Spain,5,12
1,Spain,5,58
1,Spain,1,10
1,Spain,5,85
1,Spain,4,84
1,Spain,5,58
1,Spain,4,85
1,Spain,4,26
1,Spain,5,47
1,Spain,4,86
1,Spain,4,41
1,Spain,5,42
1,Spain,3,52
1,Spain,4,17
1,Spain,1,34
1,Spain,1,76
1,Spain,3,93
1,Spain,5,74
1,Spain,5,55
1,Spain,2,16
1,Spain,1,31
1,Spain,5,25
1,Spain,5,13
1,Spain,5,37
1,Spain,1,29
1,Spain,4,48
1,Spain,5,93
1,Spain,5,53
1,Spain,5,15
1,Spain,2,15
1,Spain,1,19
1,Spain,1,28
1,Spain,5,13
1,Spain,5,51
1,Spain,5,69
1,Spain,4,12
1,Spain,1,12
1,Spain,3,54
1,Spain,4,75
1,Spain,3,56
1,Spain,5,17
1,Spain,2,83
1,Spain,2,71
1,Spain,4,72
1,Spain,4,97
1,Spain,5,66
1,Spain,5,41
1,Spain,5,20
1,Spain,5,40
1,Spain,4,41
1,Spain,5,90
1,Spain,3,48
1,Spain,1,34
1,Spain,2,21
1,Spain,5,24
1,Spain,5,38
1,Spain,3,21
1,Spain,2,96
1,Spain,4,90
1,Spain,5,98
1,Spain,5,58
1,Spain,5,90
1,Spain,5,97
1,Spain,4,21
1,Spain,5,80
1,Spain,4,98
1,Spain,4,20
1,Spain,4,55
1,Spain,4,30
1,Spain,4,98
1,Spain,1,49
1,Spain,1,92
1,Spain,5,36
1,Spain,5,55
1,Spain,5,72
1,Spain,5,90
1,Spain,5,89
1,Spain,5,44
1,Spain,2,33
1,Spain,2,18
1,Spain,5,34
1,Spain,5,95
1,Spain,5,89
1,Spain,5,68
1,Spain,4,76
1,Spain,1,62
1,Spain,4,93
1,Spain,5,40
1,Spain,1,23
1,Spain,5,69
1,Spain,4,19
1,Spain,3,80
1,Spain,5,21
1,Spain,2,80
1,Spain,3,82
1,Spain,3,90
1,Spain,4,93
1,Spain,4,27
1,Spain,4,12
1,Spain,5,15
1,Spain,2,69
1,Spain,3,31
1,Spain,5,31
1,Spain,4,36
1,Spain,5,54
1,Spain,5,87
1,Spain,5,58
1,Spain,2,79
1,Spain,5,62
1,Spain,5,59
1,Spain,4,49
1,Spain,5,90
1,Spain,4,12
1,Spain,1,49
1,Spain,5,74
1,Spain,5,96
1,Spain,1,66
1,Spain,4,88
1,Spain,1,86
1,Spain,4,96
1,Spain,4,35
1,Spain,2,22
1,Spain,3,38
1,Spain,3,68
1,Spain,4,43
1,Spain,5,63
1,Spain,5,61
1,Spain,1,63
1,Spain,4,56
1,Spain,5,43
1,Spain,3,13
1,Spain,4,74
1,Spain,4,26
1,Spain,5,21
1,Spain,5,45
1,Spain,3,28
1,Spain,2,99
1,Spain,4,40
1,Spain,5,77
1,Spain,4,29
1,Spain,5,13
1,Spain,2,66
1,Spain,4,71
1,Spain,1,94
1,Spain,3,67
1,Spain,5,59
1,Spain,1,23
1,Spain,4,89
1,Spain,5,37
1,Spain,4,68
1,Spain,5,48
1,Spain,4,34
1,Spain,1,99
1,Spain,5,54
1,Spain,5,43
1,Spain,5,88
1,Spain,4,46
1,Spain,2,19
1,Spain,4,70
1,Spain,2,32
1,Spain,3,38
1,Spain,2,69
1,Spain,4,27
1,Spain,4,38
1,Spain,1,51
1,Spain,3,68
1,Spain,1,74
1,Spain,5,86
1,Spain,4,19
1,Spain,3,68
1,Spain,2,93
1,Spain,4,26
1,Spain,5,100
1,Spain,5,14
1,Spain,4,43
1,Spain,5,18
1,Spain,4,34
1,Spain,3,53
1,Spain,5,17
1,Spain,1,23
1,Spain,5,68
1,Spain,2,86
1,Spain,4,64
1,Spain,5,78
1,Spain,4,34
1,Spain,1,44
1,Spain,5,32
1,Spain,5,79
1,Spain,5,48
1,Spain,5,91
1,Spain,5,78
1,Spain,5,57
1,Spain,5,84
1,Spain,2,97
1,Spain,4,34
1,Spain,4,75
1,Spain,2,41
1,Spain,4,87
1,Spain,5,42
1,Spain,4,92
1,Spain,4,81
1,Spain,4,28
1,Spain,5,56
1,Spain,4,37
1,Spain,4,84
1,Spain,5,35
1,Spain,1,74
1,Spain,2,27
1,Spain,4,53
1,Spain,4,53
1,Spain,1,55
1,Spain,1,32
1,Spain,5,54
1,Spain,5,30
1,Spain,2,91
1,Spain,1,36
1,Spain,4,65
1,Spain,5,15
1,Spain,3,100
1,Spain,5,88
1,Spain,5,64
1,Spain,2,44
1,Spain,4,47
1,Spain,3,13
1,Spain,4,33
1,Spain,2,46
1,Spain,2,73
1,Spain,3,78
1,Spain,5,75
1,Spain,5,59
1,Spain,5,64
1,Spain,4,87
1,Spain,5,30
1,Spain,5,49
1,Spain,5,96
1,Spain,5,93
1,Spain,1,73
1,Spain,5,57
1,Spain,4,95
1,Spain,3,98
1,Spain,5,69
1,Spain,2,12
1,Spain,4,21
1,Spain,4,48
1,Spain,3,32
1,Spain,3,67
1,Spain,2,54
1,Spain,1,27
1,Spain,1,82
1,Spain,1,42
1,Spain,5,26
1,Spain,4,65
1,Spain,5,28
1,Spain,4,18
1,Spain,4,47
1,Spain,5,56
1,Spain,5,96
1,Spain,4,33
1,Spain,4,71
1,Spain,4,12
1,Spain,4,70
1,Spain,4,12
1,Spain,4,44
1,Spain,4,98
1,Spain,4,99
1,Spain,5,51
1,Spain,3,52
1,Spain,5,93
1,Spain,4,52
1,Spain,4,97
1,Spain,4,79
1,Spain,5,33
1,Spain,4,92
1,Spain,4,92
1,Spain,4,23
1,Spain,5,99
1,Spain,2,20
1,Spain,4,56
1,Spain,3,75
1,Spain,5,68
1,Spain,3,33
1,Spain,5,46
1,Spain,2,28
1,Spain,4,23
1,Spain,2,30
1,Spain,3,33
1,Spain,4,27
1,Spain,4,87
1,Spain,3,38
1,Spain,5,91
1,Spain,5,32
1,Spain,4,83
1,Spain,3,12
1,Spain,3,55
1,Spain,4,66
1,Spain,4,60
1,Spain,3,57
1,Spain,5,73
1,Spain,5,100
1,Spain,5,43
1,Spain,4,39
1,Spain,5,83
1,Spain,5,88
1,Spain,5,76
1,Spain,4,15
1,Spain,2,73
1,Spain,5,98
1,Spain,4,54
1,Spain,2,51
1,Spain,3,24
1,Spain,4,78
1,Spain,5,64
1,Spain,5,18
1,Spain,3,53
1,Spain,5,56
1,Spain,5,93
1,Spain,4,23
1,Spain,1,66
1,Spain,1,15
1,Spain,4,21
1,Spain,5,42
1,Spain,5,61
1,Spain,3,24
1,Spain,2,21
1,Spain,4,19
1,Spain,5,90
1,Spain,3,60
1,Spain,5,28
1,Spain,1,87
1,Spain,5,48
1,Spain,5,25
1,Spain,1,64
1,Spain,2,40
1,Spain,2,12
1,Spain,2,11
1,Spain,5,12
1,Spain,4,58
1,Spain,1,25
1,Spain,1,77
1,Spain,2,52
1,Spain,1,58
1,Spain,5,19
1,Spain,5,10
1,Spain,3,14
1,Spain,5,55
1,Spain,4,32
1,Spain,4,23
1,Spain,4,90
1,Spain,5,57
1,Spain,4,28
1,Spain,4,91
1,Spain,2,10
1,Spain,4,17
1,Spain,4,75
1,Spain,5,92
1,Spain,4,19
1,Spain,5,92
1,Spain,4,50
1,Spain,2,52
1,Spain,5,62
1,Spain,5,63
1,Spain,5,78
1,Spain,4,15
1,Spain,1,43
1,Spain,5,78
1,Spain,5,45
1,Spain,4,62
1,Spain,5,25
1,Spain,4,81
1,Spain,1,62
1,Spain,4,25
1,Spain,5,97
1,Spain,5,52
1,Spain,3,99
1,Spain,4,23
1,Spain,4,38
1,Spain,3,33
1,Spain,5,29
1,Spain,5,68
1,Spain,5,87
1,Spain,4,47
1,Spain,4,84
1,Spain,5,61
1,Spain,5,32
1,Spain,5,38
1,Spain,5,70
1,Spain,4,63
1,Spain,5,52
1,Spain,1,82
1,Spain,3,25
1,Spain,2,14
1,Spain,3,71
1,Spain,4,22
1,Spain,4,29
1,Spain,5,75
1,Spain,4,94
1,Spain,3,52
1,Spain,2,95
1,Spain,5,41
1,Spain,4,27
1,Spain,5,67
1,Spain,5,55
1,Spain,1,85
1,Spain,4,51
1,Spain,3,45
1,Spain,5,31
1,Spain,1,18
1,Spain,5,38
1,Spain,3,21
1,Spain,5,78
1,Spain,5,13
1,Spain,2,65
1,Spain,5,65
1,Spain,2,95
1,Spain,4,34
1,Spain,3,39
1,Spain,1,77
1,Spain,1,92
1,Spain,2,29
1,Spain,2,73
1,Spain,2,78
1,Spain,4,61
1,Spain,4,82
1,Spain,2,31
1,Spain,2,49
1,Spain,5,24
1,Spain,5,69
1,Spain,5,100
1,Spain,4,86
1,Spain,4,82
1,Spain,3,72
1,Spain,5,47
1,Spain,4,30
1,Spain,4,69
1,Spain,4,34
1,Spain,4,53
1,Spain,4,26
1,Spain,5,56
1,Spain,5,90
1,Spain,5,93
1,Spain,4,28
1,Spain,2,41
1,Spain,5,40
1,Spain,3,36
1,Spain,3,35
1,Spain,1,76
1,Spain,5,61
1,Spain,4,20
1,Spain,5,98
1,Spain,3,30
1,Spain,5,69
1,Spain,5,63
1,Spain,5,18
1,Spain,4,47
1,Spain,1,68
1,Spain,1,15
1,Spain,5,94
1,Spain,4,93
1,Spain,5,81
1,Spain,1,95
1,Spain,4,45
1,Spain,5,18
1,Spain,5,65
1,Spain,1,43
1,Spain,5,58
1,Spain,4,61
1,Spain,4,51
1,Spain,1,63
1,Spain,5,41
1,Spain,4,31
1,Spain,4,77
1,Spain,4,52
1,Spain,5,38
1,Spain,1,89
1,Spain,4,51
1,Spain,4,58
1,Spain,2,100
1,Spain,4,61
1,Spain,1,59
1,Spain,5,82
1,Spain,1,41
1,Spain,1,27
1,Spain,1,16
1,Spain,5,84
1,Spain,4,69
1,Spain,5,79
1,Spain,5,56
1,Spain,3,45
1,Spain,5,66
1,Spain,5,98
1,Spain,5,63
1,Spain,4,57
1,Spain,4,58
1,Spain,1,65
1,Spain,5,60
1,Spain,1,25
1,Spain,5,79
1,Spain,4,42
1,Spain,5,18
1,Spain,5,98
1,Spain,5,47
1,Spain,4,73
1,Spain,5,72
1,Spain,1,26
1,Spain,4,90
1,Spain,5,49
1,Spain,1,88
1,Spain,4,85
1,Spain,5,72
1,Spain,2,61
1,Spain,1,28
1,Spain,4,42
1,Spain,2,19
1,Spain,5,65
1,Spain,3,75
1,Spain,1,29
1,Spain,2,81
1,Spain,4,79
1,Spain,5,34
1,Spain,5,86
1,Spain,4,49
1,Spain,3,96
1,Spain,5,65
1,Spain,5,85
1,Spain,1,60
1,Spain,1,60
1,Spain,4,43
1,Spain,1,33
1,Spain,3,97
1,Spain,5,81
1,Spain,5,92
1,Spain,5,54
1,Spain,5,78
1,Spain,4,43
1,Spain,4,57
1,Spain,1,41
1,Spain,5,59
1,Spain,3,13
1,Spain,4,67
1,Spain,4,41
1,Spain,5,81
1,Spain,2,27
1,Spain,5,56
1,Spain,5,75
1,Spain,5,66
1,Spain,4,36
1,Spain,4,74
1,Spain,4,74
1,Spain,2,82
1,Spain,2,54
1,Spain,4,27
1,Spain,4,57
1,Spain,2,83
1,Spain,5,78
1,Spain,3,59
1,Spain,5,39
1,Spain,5,23
1,Spain,4,76
1,Spain,3,17
1,Spain,5,63
1,Spain,3,30
1,Spain,3,83
1,Spain,5,52
1,Spain,2,32
1,Spain,1,68
1,Spain,1,58
1,Spain,3,99
1,Spain,2,51
